#Digilent WaveForms Impedance Analyzer
#Device Name: Geas_AD2
#Serial Number: SN:210321A68142
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 20 Hz
#Stop: 2000 Hz
#Steps: 501
#Resistor: 10 Ω
#Average: 2
#ProbeResistance: 1.04e+06 Ω
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.51415 V
#Offset: 0.000170477 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.42507 V
#Offset: -2.41231e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
20,4.883906201898752,3.61159092862936
20.18505772153369,4.934392388377084,3.612985671958536
20.37182776108234,4.979584379723356,3.613440797975428
20.56032596252947,5.026383841586558,3.614149252017857
20.75056831636025,5.067647869274669,3.614712519693438
20.94257096101799,5.116893730167251,3.615561708801052
21.13635018427317,5.153497292163648,3.616330564758357
21.33192242460516,5.201660278329551,3.616779997815131
21.5293042725967,5.257546267929679,3.617613725937515
21.72851247234131,5.297145646425008,3.618613329514734
21.9295639228637,5.34616626050758,3.618910627843285
22.13247567955333,5.394751767980308,3.620000995717095
22.33726495561123,5.442109955560706,3.620376025908441
22.54394912351021,5.494142838898708,3.621823291666817
22.75254571646862,5.537762059806193,3.622307121970209
22.96307242993766,5.598176288782299,3.622728570962591
23.17554712310252,5.645453480656719,3.624138548302637
23.38998782039743,5.696212187708343,3.624793499902467
23.6064127130346,5.744625781191041,3.625726204363856
23.8248401605475,5.79661932208975,3.62724991913396
24.04528869234827,5.848406837701202,3.627722849312953
24.26777700929955,5.89779008485254,3.628739592406003
24.49232398530098,5.946443504140253,3.62933508698565
24.71894866889021,6.007690219514267,3.629809821147648
24.94767028485886,6.058808413257743,3.630868648869164
25.17850823588335,6.109356300016794,3.631940876003821
25.41148210417084,6.15915303100045,3.632516360224419
25.64661165312043,6.221965045049088,3.633565723709556
25.88391682899973,6.277509294598302,3.634617346637197
26.12341776263683,6.339618342967278,3.635936311160833
26.36513477112815,6.39271178211262,3.636940556642226
26.60908835956183,6.455517072009598,3.637968340178934
26.85529922275729,6.51023395265884,3.638723177294247
27.10378824702073,6.565161680297472,3.640247892711787
27.35457651191699,6.627940430220061,3.640842387929551
27.6076852920577,6.681548560576541,3.642196561895194
27.86313605890606,6.741558742786126,3.643264577338347
28.12095048259827,6.803324003846467,3.644478493627984
28.38115043378184,6.861064867113963,3.645686304071259
28.64375798547086,6.920030232991663,3.646582959778906
28.90879541491854,6.990994976648113,3.648080980735364
29.17628520550696,7.056526653830102,3.649651052088118
29.44625004865437,7.122347900422977,3.650529231176729
29.71871284574014,7.184486229034597,3.6520388301387
29.99369671004747,7.247401505861326,3.653338047937789
30.27122496872416,7.310498901684139,3.654230432753091
30.55132116476145,7.376105820884863,3.655327211785198
30.83400905899118,7.439187867757537,3.657189192913408
31.11931263210149,7.509455718694099,3.658303020644569
31.40725608667105,7.574375013539215,3.659739125531057
31.69786384922227,7.640079368741888,3.661209802379652
31.99116057229338,7.714456590646421,3.662349610925198
32.28717113652972,7.785509354612298,3.663656821076247
32.58592065279445,7.858372084525135,3.665189872862349
32.88743446429863,7.930734777423735,3.667008455392117
33.19173814875121,7.999369212703174,3.668446464484029
33.49885752052874,8.072271207347415,3.670141714362217
33.80881863286528,8.144229667981136,3.671740984963179
34.12164778006247,8.217871586075349,3.673479642855396
34.43737149972014,8.291041707027606,3.674878280345059
34.75601657498751,8.365775790166246,3.676325027873843
35.07761003683522,8.437200561314325,3.677975964787396
35.40217916634842,8.513020291071216,3.679974450114368
35.72975149704101,8.593332251030557,3.681460090840277
36.06035481719138,8.674523041163328,3.683601392942674
36.39401717219967,8.755307927978308,3.685530318527911
36.73076686696692,8.831848692470102,3.687328926500053
37.07063246829622,8.916207886735569,3.688662985139045
37.41364280731601,8.996474836589396,3.691221313100065
37.75982698192587,9.07888937209465,3.692970200218196
38.10921435926495,9.165288952114411,3.695093891084622
38.46183457820317,9.244154646792033,3.697204501212407
38.81771755185557,9.325892361819397,3.698726367452457
39.1768934701198,9.410919116741256,3.701209618779072
39.53939280223722,9.499965129958708,3.703496852738946
39.90524629937759,9.589954667510499,3.705707991057686
40.27448499724777,9.680966784433146,3.707533734802344
40.64714021872444,9.760194626531598,3.710325979833743
41.02324357651131,9.853948278293531,3.712326145483912
41.40282697582085,9.946563681117686,3.714655749223384
41.78592261708079,10.03525308443616,3.717499397173897
42.17256299866579,10.13314216778645,3.720242125546987
42.56278091965424,10.22207040717929,3.722189860034798
42.95660948261069,10.31545646015126,3.725205832725601
43.3540820963939,10.40470438337785,3.727876755648841
43.75523247899106,10.50536210443148,3.730495408287485
44.16009466037799,10.60555053481022,3.732960678140362
44.56870298540606,10.70338567641747,3.735655099205179
44.98109211671561,10.80950828645148,3.738743093301833
45.39729703767643,10.90943257447772,3.741948320860212
45.81735305535545,11.00582149042937,3.744567220777959
46.24129580351188,11.11128425827165,3.748419713135707
46.66916124562004,11.20976702565511,3.751389555070844
47.10098567792018,11.31407064925572,3.754666953062066
47.53680573249752,11.42423778357834,3.75844758862965
47.97665838038979,11.52810990299183,3.761265641284468
48.42058093472355,11.64123808446907,3.764921805485273
48.86861105387943,11.75233391698771,3.768264351943909
49.32078674468678,11.86381161534722,3.772133993901685
49.7771463656478,11.97202811326265,3.77643739722715
50.23772863019159,12.09420944282081,3.779429236050163
50.70257260995814,12.20972807249315,3.782971150925837
51.1717177381129,12.32308198886738,3.787566996412187
51.64520381269192,12.43744816714556,3.791813972365798
52.1230709999779,12.55524702137754,3.795573868081333
52.60535983790763,12.67913065874201,3.800132290415815
53.09211123951078,12.78928365027502,3.804425045249537
53.58336649638063,12.91874998086356,3.809217428611584
54.07916728217687,13.04222448312276,3.813627997782592
54.57955565616081,13.16195098886347,3.81816419240429
55.08457406676332,13.29122733179508,3.82278639208534
55.59426535518577,13.41516570687912,3.827870220682559
56.10867275903426,13.53951968670892,3.83303579105609
56.62783991598758,13.66777879805512,3.838356839740464
57.15181086749893,13.79876795553346,3.843680227141864
57.68063006253212,13.92782479771034,3.849291149678039
58.21434236133211,14.05950779549193,3.854741716461729
58.75299303923062,14.19451603975168,3.860468591472143
59.29662779048684,14.32425687809485,3.866435846222953
59.84529273216378,14.46211209336769,3.87171942597126
60.39903440804032,14.593519219295,3.8781151243728
60.95789979255966,14.73539520680151,3.884307693072025
61.52193629481416,14.87574784052346,3.89027639268433
62.09119176256711,15.01762880660057,3.896583509445626
62.66571448631171,15.16008927475293,3.902789525353889
63.24555320336759,15.30045675029869,3.908880340734967
63.83075710201523,15.44435519463883,3.915616893179693
64.42137582566869,15.59369605919346,3.922292650837059
65.01745947708687,15.7409512956018,3.929217955270365
